BCRcode,TPC_FREE,TFC_FREE,TPAC_FREE,TPC_BOUND,TFC_Bound,TPAC_BOUND,TAC_Bound,DPPH_Free,DPPH_Bound,Folate,Panthothenic_acid,a_tocopherol,Riboflavin,Na,Zn ,Fe 
bcr69,671.210258,184.308148,181.582279,30.64,24,16.6033755,22.6425556,0.63218996,0.462344189,51100000,3.32E+08,4904284,5099530.5,10,26,13
bcr70,236.666667,107.152593,54.5457103,23.030303,20.8622222,17.7988748,12.5765659,0.17510217,0.087114422,5.20E+07,2.11E+08,5170796.5,4350212,10,22,13
bcr71,748.181818,330.085926,219.838256,64.969697,29.3392593,23.4247539,25.4459196,0.65877675,0.501775578,68800000,3.31E+08,5037941,4226499,20,24,17
bcr72,178.121437,85.5822222,48.5302391,41.2318142,36.002963,16.3924051,20.4848485,1.19205328,0.814956269,50700000,2.01E+08,4477846,4069417,40,24,21
bcr75,499.393939,246.411852,127.362869,60.969697,32.5866667,34.395218,13.2006994,0.30343541,0.277084875,5.00E+07,2.64E+08,10200000,4112753.5,20,25,15
bcr77,491.818182,161.315556,122.862166,85.5757576,71.0590841,16.533052,36.1214815,0.15676601,0.024807222,66600000,2.91E+08,4101129,8345700,20,21,16
bcr78,788.181818,283.626667,237.630099,40.6844444,31.2727273,16.0407876,20.0888839,0.17733802,0.434368298,70300000,4.08E+08,4507525.5,7208821,20,24,16
bcr80,220.044992,193.412698,26.8002813,18.7843286,15.3571429,8.44585091,0.01234568,1.15894713,0.202521503,86600000,2.72E+08,5471384.5,5311462,20,21,15
bcr82,194.603175,171.714947,59.0246914,99.2480887,10.2039381,4.58024691,1.07142857,2.09046398,0.983417195,48500000,3.48E+08,5026128,5322649.5,20,29,18
bcr85,572.498315,429.52381,77.2222222,34.0864198,20.1190476,10.766526,20.5757603,0.03947471,0.135325077,75200000,3.13E+08,8807525,5018137,20,25,15
bcr86,427.266887,369.603175,52.3277075,15.0740741,10.4852321,5.63492064,0,28.122253,0.325641473,53100000,3.25E+08,5052746.5,5038269,30,24,18
bcr87,272.777778,81.3240794,22.0886076,25.6483635,4.7037037,9.7116737,1.07142857,0.22443461,0.342116793,57500000,2.82E+08,8431724,4469946.5,30,25,17
bcr88,361.658322,246.984127,41.1462729,31,25.8730159,12.8059072,0,1.67531576,0.273264187,41800000,2.24E+08,5326507,5940667,20,27,16
bcr90,59.2716049,5.31746032,34.8874824,,,,,0.28787556,9.706421373,51900000,2.53E+08,4152178.5,3405932,20,20,15
bcr91,246.984127,194.703704,110.907173,10.3537037,28.3809524,3.75632911,4.4786281,0.07812289,0.008420986,49600000,2.09E+08,5502117,5039367,20,26,14
bcr92,93.8395062,45.3968254,38.8255978,23.5018519,79.5714286,4.64240506,4.70994185,0.13567143,0.003974035,60200000,2.15E+08,6116166,4680888,20,25,14
bcr96,52.5396825,33.2222222,14.1420535,33.7559964,21.8641975,11.188467,5.23809524,0.13815134,0.156275426,23200000,2.34E+08,5069191,535181.94,30,21,12
bcr103,265.238095,227.608087,38.1223629,14.5634921,13.962963,10.4852321,0.53375431,0.15072334,0.098412771,56500000,3.14E+08,4350103,4441762,50,30,21
bcr108,147.881747,133.410689,9.28571429,2.07592593,0.88095238,3.64029536,8.53213103,0.21164527,0.023559197,80800000,2.79E+08,5050885.5,3232140,30,30,14
bcr111,238.253968,205.702178,36.5049226,19.0246914,7.42063492,10.625879,4.91438651,0.02670179,0.595448748,67900000,3.01E+08,3476542.5,3419003.8,20,32,15
bcr112,547.367177,383.095238,81.0196906,1.98765432,9.47619048,9.28973277,8.72795043,0.10012134,0.189318272,42400000,2.10E+08,4822996,4808903.5,20,27,15
bcr114,179.697283,95.6190476,12.9704641,4.00493827,2.01587302,3.99718706,1.24542672,0.20862997,0.023982324,57100000,2.18E+08,4200561.5,4165815.5,20,27,16
bcr116,318.557554,116.571429,18.1744023,4.49876543,1.61904762,4.19409283,3.07149157,0.12626939,0.349627126,5.80E+07,2.36E+08,4050235,5985321,20,25,18
