"","Group.1","BCRcode.Length","BCRcode.Class","BCRcode.Mode","TPC_FREE.Min.","TPC_FREE.1st Qu.","TPC_FREE.Median","TPC_FREE.Mean","TPC_FREE.3rd Qu.","TPC_FREE.Max.","TFC_FREE.Min.","TFC_FREE.1st Qu.","TFC_FREE.Median","TFC_FREE.Mean","TFC_FREE.3rd Qu.","TFC_FREE.Max.","TPAC_FREE.Min.","TPAC_FREE.1st Qu.","TPAC_FREE.Median","TPAC_FREE.Mean","TPAC_FREE.3rd Qu.","TPAC_FREE.Max.","TPC_BOUND.Min.","TPC_BOUND.1st Qu.","TPC_BOUND.Median","TPC_BOUND.Mean","TPC_BOUND.3rd Qu.","TPC_BOUND.Max.","TFC_Bound.Min.","TFC_Bound.1st Qu.","TFC_Bound.Median","TFC_Bound.Mean","TFC_Bound.3rd Qu.","TFC_Bound.Max.","TPAC_BOUND.Min.","TPAC_BOUND.1st Qu.","TPAC_BOUND.Median","TPAC_BOUND.Mean","TPAC_BOUND.3rd Qu.","TPAC_BOUND.Max.","TAC_Bound.Min.","TAC_Bound.1st Qu.","TAC_Bound.Median","TAC_Bound.Mean","TAC_Bound.3rd Qu.","TAC_Bound.Max.","DPPH_Free.Min.","DPPH_Free.1st Qu.","DPPH_Free.Median","DPPH_Free.Mean","DPPH_Free.3rd Qu.","DPPH_Free.Max.","DPPH_Bound.Min.","DPPH_Bound.1st Qu.","DPPH_Bound.Median","DPPH_Bound.Mean","DPPH_Bound.3rd Qu.","DPPH_Bound.Max.","Folate.Min.","Folate.1st Qu.","Folate.Median","Folate.Mean","Folate.3rd Qu.","Folate.Max.","Panthothenic_acid.Min.","Panthothenic_acid.1st Qu.","Panthothenic_acid.Median","Panthothenic_acid.Mean","Panthothenic_acid.3rd Qu.","Panthothenic_acid.Max.","a_tocopherol.Min.","a_tocopherol.1st Qu.","a_tocopherol.Median","a_tocopherol.Mean","a_tocopherol.3rd Qu.","a_tocopherol.Max.","Riboflavin.Min.","Riboflavin.1st Qu.","Riboflavin.Median","Riboflavin.Mean","Riboflavin.3rd Qu.","Riboflavin.Max.","Na.Min.","Na.1st Qu.","Na.Median","Na.Mean","Na.3rd Qu.","Na.Max.","Zn.Min.","Zn.1st Qu.","Zn.Median","Zn.Mean","Zn.3rd Qu.","Zn.Max.","Fe.Min.","Fe.1st Qu.","Fe.Median","Fe.Mean","Fe.3rd Qu.","Fe.Max.","cluster.1","cluster.2"
"1",1,197,character,character,   4.897328, 132.506469, 228.333333, 252.776839, 313.962963,1427.232810,  1.058806, 83.685926,142.234568,171.101536,222.728395,612.234568,  0.63000, 39.24754, 71.66667, 98.84868,127.36287,825.32099,  0.04761905, 12.59444440, 29.71111110, 39.68324086, 51.35714290,277.37130600,  0.7619048,  7.9047619, 14.2844444, 19.0847866, 22.8722222,134.3333330, 2.3777778, 4.5896624, 7.1772152,10.0194301,13.8607595,50.7102672, 0.000000, 0.000000, 6.237491,13.599424,20.088884,98.753749, 0.00566075, 0.06566797, 0.12203050, 0.55718801, 0.30343541,28.12225300,0.000979220,0.014525227,0.070966596,0.293343906,0.414382554,2.884409462,21000000,49900000,56200000,55965990,62000000,86600000,105000000,220000000,271000000,271137056,314000000,525000000, 1038002, 2065789, 3203664, 3542509, 4822996,10800000,  351941.1, 3245594.5, 4330296.5, 4448624.7, 5468780.5, 9535344.0, 10.00000, 20.00000, 20.00000, 25.58376, 30.00000,110.00000,18.00000,23.00000,25.00000,25.33503,27.00000,34.00000, 9.50000,13.00000,14.00000,14.97208,16.00000,68.00000,197,  0
"2",2,91,character,character,  15.814815,  76.121914, 127.878788, 142.919827, 172.298942, 485.095238, 11.225926, 49.790123, 75.028148, 82.964490,100.521975,252.936508,  9.68254, 18.94374, 26.58931, 37.47258, 43.52883,122.97531,  1.11904762, 12.19007940, 19.69047620, 29.04089465, 39.36640210,122.08148200,  0.2857143,  7.2148148, 11.5400844, 14.4947149, 18.3990740, 71.0000000, 0.4761905, 4.0411392, 5.3491561, 7.9442639,10.6947961,69.2666667, 0.000000, 0.000000, 2.209768, 5.442522, 8.820503,45.821740, 0.00683637, 0.06451863, 0.12555142, 0.22978671, 0.22749231, 1.76596498,0.003169899,0.014389505,0.055073035,0.169051048,0.186962193,0.983096079,17200000,26750000,33000000,33829670,40400000,57500000, 73800000,163000000,197000000,210558242,246500000,393000000, 1429718, 2007106, 2727021, 3381579, 4354696,21100000,  454482.2, 2516125.6, 3502456.5, 3673907.5, 4772674.5,14000000.0, 10.00000, 20.00000, 20.00000, 20.43956, 20.00000, 50.00000,14.00000,22.00000,24.00000,23.90110,26.00000,37.00000, 7.50000,12.00000,13.00000,13.31648,14.50000,20.00000,  0, 91
